artist,rank,song
Lil Nas X Featuring Billy Ray Cyrus,1,Old Town Road
Billie Eilish,2,Bad Guy
Khalid,3,Talk
Jonas Brothers,4,Sucker
Ed Sheeran & Justin Bieber,5,I Don't Care
Post Malone,6,Wow.
Post Malone & Swae Lee,7,Sunflower (Spider-Man: Into The Spider-Verse)
DaBaby,8,Suge
Chris Brown Featuring Drake,9,No Guidance
Sam Smith & Normani,10,Dancing With A Stranger
Polo G Featuring Lil Tjay,11,Pop Out
Shawn Mendes,12,If I Can't Have You
Ava Max,13,Sweet But Psycho
Taylor Swift Featuring Brendon Urie,14,ME!
Halsey,15,Without Me
Ariana Grande,16,7 Rings
Lizzo,17,Truth Hurts
Marshmello & Bastille,18,Happier
Blake Shelton,19,God's Country
Morgan Wallen,20,Whiskey Glasses
Panic! At The Disco,21,High Hopes
Luke Combs,22,Beer Never Broke My Heart
Daddy Yankee & Katy Perry Featuring Snow,23,Con Calma
"Young Thug, J. Cole & Travis Scott",24,The London
J. Cole,25,Middle Child
City Girls,26,Act Up
"benny blanco, Halsey & Khalid",27,Eastside
Katy Perry,28,Never Really Over
Mustard & Migos,29,Pure Water
"Tyler, The Creator",30,Earfquake
Panic! At The Disco,31,"Hey Look Ma, I Made It"
Meek Mill Featuring Drake,32,Going Bad
Dan + Shay,33,Speechless
Lady Gaga & Bradley Cooper,34,Shallow
Khalid,35,Better
Lee Brice,36,Rumor
Ariana Grande,37,"Break Up With Your Girlfriend, I'm Bored"
Travis Scott,38,Sicko Mode
Thomas Rhett,39,Look What God Gave Her
A Boogie Wit da Hoodie,40,Look Back At It
Calboy,41,Envy Me
Billie Eilish,42,When The Party's Over
Halsey,43,Nightmare
Jonas Brothers,44,Cool
Luke Combs,45,Beautiful Crazy
Kane Brown,46,Good As You
Cardi B,47,Press
Lil Baby,48,Close Friends
Ed Sheeran Featuring Chance The Rapper & PnB Rock,49,Cross Me
"YG, Tyga & Jon Z",50,Go Loko
Cardi B & Bruno Mars,51,Please Me
Brett Eldredge,52,Love Someone
Offset Featuring Cardi B,53,Clout
YK Osiris,54,Worth It
Lewis Capaldi,55,Someone You Loved
Kelsea Ballerini,56,Miss Me More
P!nk,57,Walk Me Home
Billie Eilish,58,Bury A Friend
Maren Morris,59,GIRL
DJ Khaled Featuring SZA,60,Just Us
Luke Bryan,61,Knockin' Boots
Luke Combs,62,Even Though I'm Leaving
5 Seconds Of Summer,63,Easier
Summer Walker X Drake,64,Girls Need Love
Lil Tecca,65,Ran$om
Blanco Brown,66,The Git Up
Meek Mill Featuring Ella Mai,67,24/7
Jason Aldean,68,Rearview Town
Bad Bunny & Tainy,69,Callaita
DJ Khaled Featuring Cardi B & 21 Savage,70,Wish Wish
Dan + Shay,71,All To Myself
Chase Rice,72,Eyes On You
Beyonce,73,Before I Let Go
Eric Church,74,Some Of It
Marshmello Featuring CHVRCHES,75,Here With Me
Lil Uzi Vert,76,Sanguine Paradise
"Lunay, Daddy Yankee & Bad Bunny",77,Soltera
Florida Georgia Line,78,Talk You Out Of It
Yo Gotti Featuring Lil Baby,79,Put A Date On It
Eli Young Band,80,Love Ain't
NLE Choppa,81,Shotta Flow
Pedro Capo X Farruko,82,Calma
Avicii,83,Heaven
The Chainsmokers & Bebe Rexha,84,Call You Mine
Billie Eilish,85,Ocean Eyes
Megan Thee Stallion,86,Big Ole Freak
Future,87,Please Tell Me
Cody Johnson,88,On My Way To You
SHAED,89,Trampoline
Chris Young,90,Raised On Country
Nicky Jam X Ozuna,91,Te Robare
Ozuna,92,Amor Genuino
Jonas Brothers,93,Only Human
"Yella Beezy, Gucci Mane & Quavo",94,Bacc At It Again
Bryce Vine Featuring YG,95,La La Land
Juice WRLD,96,Robbery
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,97,Baila Baila Baila
Future,98,XanaX Damage
Future,99,Government Official
Sech Featuring Darell,100,Otro Trago
